date,raw_merchant,clean_merchant,category,amount,expected_range,anomaly_score,severity,explanation
2025-04-14,RYANAIR *9247 AIRLINE,RYANAIR AIRLINE,Travel,25.0,€43.63 - €570.85,0.1569,Medium,Amount €25.00 is 0.1x typical Travel median (€171.42). Exceeds typical ceiling of €570.85.
2023-05-11,AER LINGUS DUBLIN,AER LINGUS DUBLIN,Travel,25.0,€43.63 - €570.85,0.1569,Medium,Amount €25.00 is 0.1x typical Travel median (€171.42). Exceeds typical ceiling of €570.85.
2023-06-05,RYANAIR *4695 AIRLINE,RYANAIR AIRLINE,Travel,25.0,€43.63 - €570.85,0.1569,Medium,Amount €25.00 is 0.1x typical Travel median (€171.42). Exceeds typical ceiling of €570.85.
2024-10-17,  RYANAIR *9163 AIRLINE   ,RYANAIR AIRLINE,Travel,25.0,€43.63 - €570.85,0.1569,Medium,Amount €25.00 is 0.1x typical Travel median (€171.42). Exceeds typical ceiling of €570.85.
2025-02-06,DUBLIN BUS 9447,DUBLIN BUS 9447,Transport,4.74,€2.40 - €63.89,0.1558,Medium,Amount €4.74 is 0.2x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-09-05,circle k swords,CIRCLE K SWORDS,Transport,4.58,€2.40 - €63.89,0.155,Medium,Amount €4.58 is 0.2x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-12-18,LEAP CARD AUTO TOPUP,LEAP CARD AUTO TOPUP,Transport,5.8,€2.40 - €63.89,0.141,Medium,Amount €5.80 is 0.3x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-05-01,Unknown Merchant,UNKNOWN MERCHANT,Transport,6.12,€2.40 - €63.89,0.1341,Medium,Amount €6.12 is 0.3x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-05-02,Dublin Bus 8415,DUBLIN BUS 8415,Transport,6.25,€2.40 - €63.89,0.1328,Medium,Amount €6.25 is 0.3x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-02-08,ZARA IRELAND BRAY,ZARA IRELAND BRAY,Shopping,13.63,€10.00 - €280.82,0.1219,Medium,Amount €13.63 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2024-12-16,ZARA IRELAND SWORDS,ZARA IRELAND SWORDS,Shopping,14.3,€10.00 - €280.82,0.1212,Medium,Amount €14.30 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2024-03-21,AMZN Mktp UK*3764,AMZN MKTP UK,Shopping,13.31,€10.00 - €280.82,0.1191,Medium,Amount €13.31 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2024-11-27,  APPLE STORE RETAIL   ,APPLE STORE RETAIL,Shopping,15.45,€10.00 - €280.82,0.1176,Medium,Amount €15.45 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-12-08,Penneys Primark Galway,PENNEYS PRIMARK GALWAY,Shopping,15.41,€10.00 - €280.82,0.1176,Medium,Amount €15.41 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-06-26,UBER *TRIP 1235,UBER,Transport,6.59,€2.40 - €63.89,0.1157,Medium,Amount €6.59 is 0.3x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-11-14,DUBLIN BUS 7427,DUBLIN BUS 7427,Transport,6.61,€2.40 - €63.89,0.1157,Medium,Amount €6.61 is 0.3x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-12-25,Decathlon Sports Ireland,DECATHLON SPORTS IRELAND,Shopping,15.38,€10.00 - €280.82,0.1153,Medium,Amount €15.38 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-12-27,Decathlon Sports Ireland,DECATHLON SPORTS IRELAND,Shopping,16.0,€10.00 - €280.82,0.1143,Medium,Amount €16.00 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2024-07-19,LEAP CARD AUTO TOPUP,LEAP CARD AUTO TOPUP,Transport,6.75,€2.40 - €63.89,0.1124,Medium,Amount €6.75 is 0.3x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-06-03,asos.com orders,ASOS COM ORDERS,Shopping,10.88,€10.00 - €280.82,0.1116,Medium,Amount €10.88 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2024-10-21,zara ireland bray,ZARA IRELAND BRAY,Shopping,11.83,€10.00 - €280.82,0.1108,Medium,Amount €11.83 is 0.2x typical Shopping median (€72.17). Exceeds typical ceiling of €280.82.
2023-06-30,irish rail online,IRISH RAIL ONLINE,Transport,7.17,€2.40 - €63.89,0.1104,Medium,Amount €7.17 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-04-07,Applegreen Motorway Services,APPLEGREEN MOTORWAY SERVICES,Transport,7.12,€2.40 - €63.89,0.1091,Medium,Amount €7.12 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-04-18,Dominos Pizza Bray,DOMINOS PIZZA BRAY,Dining & Takeaway,4.34,€3.80 - €95.17,0.1069,Medium,Amount €4.34 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-09-20,DELIVEROO.IE *4578,DELIVEROO IE,Dining & Takeaway,4.08,€3.80 - €95.17,0.1068,Medium,Amount €4.08 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-11-06,IRISH RAIL ONLINE,IRISH RAIL ONLINE,Transport,7.41,€2.40 - €63.89,0.1063,Medium,Amount €7.41 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-07-26,Dominos Pizza CORK,DOMINOS PIZZA CORK,Dining & Takeaway,4.47,€3.80 - €95.17,0.1058,Medium,Amount €4.47 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2023-04-25,  Costa Coffee SWORDS   ,COSTA COFFEE SWORDS,Dining & Takeaway,4.46,€3.80 - €95.17,0.1058,Medium,Amount €4.46 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-08-29,McDonalds LIMERICK,MCDONALDS LIMERICK,Dining & Takeaway,4.01,€3.80 - €95.17,0.1056,Medium,Amount €4.01 is 0.1x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2023-02-24,DART TICKET MACHINE,DART TICKET MACHINE,Transport,7.54,€2.40 - €63.89,0.1055,Medium,Amount €7.54 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-03-07,insomnia coffee co,INSOMNIA COFFEE CO,Dining & Takeaway,4.14,€3.80 - €95.17,0.1054,Medium,Amount €4.14 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-06-12,JUST EAT 9364,JUST EAT 9364,Dining & Takeaway,4.53,€3.80 - €95.17,0.1043,Medium,Amount €4.53 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-05-20,Dominos Pizza BRAY,DOMINOS PIZZA BRAY,Dining & Takeaway,4.61,€3.80 - €95.17,0.1039,Medium,Amount €4.61 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2023-05-02,TFI Leap Card Topup,TFI LEAP CARD TOPUP,Transport,7.57,€2.40 - €63.89,0.1022,Medium,Amount €7.57 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-02-09,DART TICKET MACHINE,DART TICKET MACHINE,Transport,7.56,€2.40 - €63.89,0.1022,Medium,Amount €7.56 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-12-29,free now taxi dublin,FREE NOW TAXI DUBLIN,Transport,7.58,€2.40 - €63.89,0.1022,Medium,Amount €7.58 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2024-02-27,Boojum Burrito LIMERICK,BOOJUM BURRITO LIMERICK,Dining & Takeaway,4.2,€3.80 - €95.17,0.1015,Medium,Amount €4.20 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-12-25,Dominos Pizza SWORDS,DOMINOS PIZZA SWORDS,Dining & Takeaway,4.79,€3.80 - €95.17,0.1005,Medium,Amount €4.79 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2023-08-03,Dominos Pizza DUNDALK,DOMINOS PIZZA DUNDALK,Dining & Takeaway,4.72,€3.80 - €95.17,0.1004,Medium,Amount €4.72 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2025-03-04,Nandos CORK,NANDOS CORK,Dining & Takeaway,4.72,€3.80 - €95.17,0.1004,Medium,Amount €4.72 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2023-12-05,Costa Coffee DUBLIN,COSTA COFFEE DUBLIN,Dining & Takeaway,4.83,€3.80 - €95.17,0.0997,Medium,Amount €4.83 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-03-01,Boojum Burrito KILKENNY,BOOJUM BURRITO KILKENNY,Dining & Takeaway,4.74,€3.80 - €95.17,0.0995,Medium,Amount €4.74 is 0.2x typical Dining & Takeaway median (€27.04). Exceeds typical ceiling of €95.17.
2024-03-14,Steam Games Purchase,STEAM GAMES PURCHASE,Entertainment & Subscriptions,5.79,€4.99 - €58.87,0.095,Medium,Amount €5.79 is 0.4x typical Entertainment & Subscriptions median (€14.17). Exceeds typical ceiling of €58.87.
2024-06-04,Youtube Premium,YOUTUBE PREMIUM,Entertainment & Subscriptions,5.93,€4.99 - €58.87,0.0943,Medium,Amount €5.93 is 0.4x typical Entertainment & Subscriptions median (€14.17). Exceeds typical ceiling of €58.87.
2023-01-24,Audible UK Monthly,AUDIBLE UK MONTHLY,Entertainment & Subscriptions,5.26,€4.99 - €58.87,0.0939,Medium,Amount €5.26 is 0.4x typical Entertainment & Subscriptions median (€14.17). Exceeds typical ceiling of €58.87.
2023-10-02,  Audible UK Monthly   ,AUDIBLE UK MONTHLY,Entertainment & Subscriptions,5.23,€4.99 - €58.87,0.0918,Medium,Amount €5.23 is 0.4x typical Entertainment & Subscriptions median (€14.17). Exceeds typical ceiling of €58.87.
2024-02-12,  TFI Leap Card Topup   ,TFI LEAP CARD TOPUP,Transport,7.74,€2.40 - €63.89,0.0879,Medium,Amount €7.74 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-10-23,Unknown Merchant,UNKNOWN MERCHANT,Transport,8.04,€2.40 - €63.89,0.0819,Medium,Amount €8.04 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-12-11,FREE NOW TAXI DUBLIN,FREE NOW TAXI DUBLIN,Transport,8.22,€2.40 - €63.89,0.0818,Medium,Amount €8.22 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-08-03,shell petrol 6353,SHELL PETROL 6353,Transport,8.26,€2.40 - €63.89,0.0804,Medium,Amount €8.26 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-02-27,Circle K Dundalk,CIRCLE K DUNDALK,Transport,8.27,€2.40 - €63.89,0.0804,Medium,Amount €8.27 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
2023-05-22,DART TICKET MACHINE,DART TICKET MACHINE,Transport,8.27,€2.40 - €63.89,0.0804,Medium,Amount €8.27 is 0.4x typical Transport median (€19.37). Exceeds typical ceiling of €63.89.
